Furniture Name	Y/N	Quality	Crafting Station	Category	Mat1	Q1	MatPrice1	Mat2	Q2	MatPrice2	Mat3	Q3	MatPrice3	Mat4	Q4	MatPrice4	Mat5	Q5	MatPrice5	Mat6	Q6	MatPrice6	Rarity Bonus	Total	Rounded Total
Common Bucket, Rope		Fine	Woodworking	Hearth	Heartwood	4	1200	Nickel	5	15	Pitch	9	100										1000	6775	7000
Common Cage, Hunting		Fine	Blacksmithing	Workshop	Regulus	5	100	Heartwood	3	1200	Nickel	5	15	Honing Stone	9	16							1000	5319	6000
Common Candle, Lasting		Fine	Provisioning	Lighting	Decorative Wax	3	750	Nickel	5	15	Rakeipa	2	140	Mundane Rune	2	1200	Flour	20	60				1000	7205	8000
Common Candle, Set		Fine	Provisioning	Lighting	Decorative Wax	4	750	Nickel	5	15	Flour	20	60										1000	5275	6000
Common Candles, Pair		Fine	Provisioning	Lighting	Decorative Wax	3	750	Nickel	5	15	Flour	20	60										1000	4525	5000
Common Cargo, Covered		Fine	Woodworking	Workshop	Heartwood	5	1200	Nickel	5	15	Pitch	9	100										1000	7975	8000
Common Cargo, Reinforced		Fine	Woodworking	Workshop	Heartwood	5	1200	Regulus	3	100	Nickel	5	15	Pitch	9	100							1000	8275	9000
Common Cargo, Sealed		Fine	Woodworking	Workshop	Heartwood	5	1200	Regulus	3	100	Nickel	5	15	Pitch	9	100							1000	8275	9000
Common Cleaver, Cooking		Fine	Blacksmithing	Hearth	Regulus	3	100	Nickel	5	15	Honing Stone	9	16										1000	1519	2000
Common Counter, Island Stall		Fine	Woodworking	Dining	Heartwood	7	1200	Nickel	5	15	Pitch	9	100										1000	10375	11000
Common Crate, Sealed		Fine	Woodworking	Workshop	Heartwood	6	1200	Nickel	5	15	Pitch	9	100										1000	9175	10000
Common Inkwell, Practical		Fine	Blacksmithing	Library	Regulus	3	100	Nickel	5	15	Honing Stone	9	16										1000	1519	2000
Common Lantern, Hanging		Fine	Blacksmithing	Lighting	Regulus	3	100	Nickel	5	15	Rakeipa	2	140	Mundane Rune	2	1200	Honing Stone	9	16				1000	4199	5000
Common Lantern, Stationary		Fine	Blacksmithing	Lighting	Regulus	3	100	Nickel	5	15	Honing Stone	9	16										1000	1519	2000
Common Pack, Backpack		Fine	Clothing	Hearth	Bast	3	30	Nickel	5	15	Hemming	9	15										1000	1300	2000
Common Pack, Satchel		Fine	Clothing	Hearth	Bast	3	30	Nickel	5	15	Hemming	9	15										1000	1300	2000
Common Plate, Setting		Fine	Blacksmithing	Hearth	Regulus	3	100	Nickel	5	15	Honing Stone	9	16										1000	1519	2000
Common Plate, Simple		Fine	Blacksmithing	Hearth	Regulus	3	100	Nickel	5	15	Honing Stone	9	16										1000	1519	2000
Common Platter, Serving		Fine	Blacksmithing	Hearth	Regulus	4	100	Nickel	5	15	Honing Stone	9	16										1000	1619	2000
Common Post, Flag Pole		Fine	Blacksmithing	Courtyard	Regulus	4	100	Nickel	5	15	Honing Stone	9	16										1000	1619	2000
Common Post, Sign Holder		Fine	Blacksmithing	Courtyard	Regulus	5	100	Nickel	5	15	Honing Stone	9	16										1000	1719	2000
Common Pot, Cooking		Fine	Blacksmithing	Hearth	Regulus	3	100	Decorative Wax	3	750	Nickel	5	15	Honing Stone	9	16							1000	3769	4000
Common Quill, Feather		Fine	Alchemy	Library	Alchemical Resin	5	30	Decorative Wax	3	750	Nickel	5	15	Poultry	6	20							1000	3595	4000
Common Skillet, Practical		Fine	Blacksmithing	Hearth	Regulus	3	100	Nickel	5	15	Honing Stone	9	16										1000	1519	2000
Common Table, Slanted		Fine	Woodworking	Dining	Heartwood	2	1200	Nickel	5	15	Pitch	9	100										1000	4375	5000
Common Trap, Hunting		Fine	Blacksmithing	Workshop	Regulus	5	100	Heartwood	3	1200	Nickel	5	15	Honing Stone	9	16							1000	5319	6000
Common Trough		Fine	Woodworking	Workshop	Heartwood	3	1200	Nickel	5	15	Pitch	9	100										1000	5575	6000
Common Washtub, Empty		Fine	Woodworking	Hearth	Heartwood	4	1200	Nickel	5	15	Pitch	9	100										1000	6775	7000
Common Wheelbarrow, Barrel		Fine	Woodworking	Workshop	Heartwood	7	1200	Nickel	5	15	Pitch	9	100										1000	10375	11000
Common Wheelbarrow, Flat		Fine	Woodworking	Courtyard	Heartwood	6	1200	Nickel	5	15	Pitch	9	100										1000	9175	10000
Common Wheelbarrow, Sided		Fine	Woodworking	Courtyard	Heartwood	7	1200	Nickel	5	15	Pitch	9	100										1000	10375	11000
Cured Meat		Superior	Provisioning	Hearth	Decorative Wax	10	750	Nickel	10	15	Red Meat	12	10	Bervez Juice	3	150							2000	10220	11000
Cured Meat Chunk		Superior	Provisioning	Hearth	Decorative Wax	10	750	Nickel	10	15	Red Meat	12	10	Bervez Juice	3	150							2000	10220	11000
Cured Meat Chunks		Superior	Provisioning	Hearth	Decorative Wax	10	750	Nickel	10	15	Red Meat	12	10	Bervez Juice	3	150							2000	10220	11000
Cured Meat Hock		Superior	Provisioning	Hearth	Decorative Wax	10	750	Nickel	10	15	Red Meat	12	10	Bervez Juice	3	150							2000	10220	11000
Cured Meat Pile		Superior	Provisioning	Hearth	Decorative Wax	10	750	Nickel	10	15	Red Meat	12	10	Bervez Juice	3	150							2000	10220	11000
Cured Meat Shank		Superior	Provisioning	Hearth	Decorative Wax	9	750	Mundane Rune	6	1200	Alchemical Resin	7	30	Nickel	10	15	Bervez Juice	3	150				2000	16760	17000
Cured Meats		Superior	Provisioning	Hearth	Decorative Wax	10	750	Nickel	10	15	Red Meat	12	10	Bervez Juice	3	150							2000	10220	11000
Daedric Base, Ashen		Epic	Enchanting	Structures	Mundane Rune	12	1200	Regulus	8	100	Alchemical Resin	8	30	Daedra Heart	16	400	Rekuta	3	70				5000	27050	28000
Daedric Bench, Ashen		Superior	Blacksmithing	Dining	Regulus	9	100	Bast	6	30	Heartwood	6	1200	Daedra Heart	12	400	Dwarven Oil	6	22				2000	15212	16000
Daedric Brazier, Coldharbour		Superior	Blacksmithing	Lighting	Regulus	9	100	Mundane Rune	7	1200	Rakeipa	1	140	Daedra Heart	12	400	Dwarven Oil	6	22				2000	16372	17000
Daedric Brazier, Standing		Epic	Alchemy	Lighting	Alchemical Resin	12	30	Regulus	7	100	Mundane Rune	9	1200	Daedra Heart	16	400							5000	23260	24000
Daedric Brazier, Table		Epic	Alchemy	Lighting	Alchemical Resin	11	30	Regulus	8	100	Mundane Rune	7	1200	Daedra Heart	14	400							5000	20130	21000
Daedric Cage, Hanging		Epic	Blacksmithing	Undercroft	Regulus	12	100	Mundane Rune	8	1200	Alchemical Resin	8	30	Daedra Heart	16	400	Grain Solvent	3	700				5000	24540	25000
Daedric Candles, Group		Epic	Provisioning	Lighting	Decorative Wax	10	750	Mundane Rune	6	1200	Alchemical Resin	8	30	Daedra Heart	12	400	Frost Mirriam	3	70				5000	24950	25000
Daedric Candles, Ritual Set		Epic	Provisioning	Lighting	Decorative Wax	10	750	Mundane Rune	8	1200	Alchemical Resin	6	30	Daedra Heart	12	400	Frost Mirriam	3	70				5000	27290	28000
Daedric Chandelier, Ritual		Epic	Blacksmithing	Lighting	Alchemical Resin	9	30	Regulus	12	100	Mundane Rune	7	1200	Daedra Heart	16	400	Grain Solvent	3	700				5000	23370	24000
Daedric Doorway, Spiked		Epic	Enchanting	Structures	Mundane Rune	12	1200	Regulus	9	100	Alchemical Resin	7	30	Daedra Heart	16	400	Rekuta	3	70				5000	27120	28000
Daedric Fence, Section		Superior	Blacksmithing	Structures	Regulus	9	100	Mundane Rune	6	1200	Daedra Heart	12	400	Dwarven Oil	6	22							2000	15032	16000
Daedric Pedestal, Ritual		Superior	Blacksmithing	Dining	Regulus	9	100	Mundane Rune	7	1200	Alchemical Resin	5	30	Daedra Heart	12	400	Dwarven Oil	6	22				2000	16382	17000
Daedric Platform, Ashen		Epic	Enchanting	Structures	Mundane Rune	12	1200	Regulus	8	100	Alchemical Resin	8	30	Daedra Heart	16	400	Rekuta	3	70				5000	27050	28000
Daedric Urn, Ashen		Epic	Enchanting	Undercroft	Mundane Rune	11	1200	Regulus	8	100	Alchemical Resin	7	30	Daedra Heart	14	400	Rekuta	3	70				5000	25020	26000
Dark Elf Armchair, Angled		Fine	Woodworking	Dining	Heartwood	5	1200	Obsidian	5	15	Pitch	9	100										1000	7975	8000
Dark Elf Basin, Ringed		Fine	Blacksmithing	Undercroft	Regulus	6	100	Mundane Rune	4	1200	Obsidian	5	15	Honing Stone	9	16							1000	6619	7000
Dark Elf Bed, Canopy		Epic	Woodworking	Suite	Heartwood	14	1200	Regulus	9	100	Bast	9	30	Obsidian	15	15	Mastic	3	1500				5000	27695	28000
Dark Elf Bed, Full		Superior	Clothing	Suite	Bast	13	30	Regulus	7	100	Heartwood	9	1200	Obsidian	10	15	Embroidery	6	21				2000	14166	15000
Dark Elf Bed, Single		Fine	Clothing	Suite	Bast	7	30	Heartwood	4	1200	Obsidian	5	15	Hemming	9	15							1000	6220	7000
Dark Elf Bookcase, Sectioned		Superior	Woodworking	Library	Heartwood	9	1200	Regulus	7	100	Alchemical Resin	5	30	Obsidian	10	15	Turpen	6	30				2000	13980	14000
Dark Elf Candelabra, Angled		Epic	Blacksmithing	Lighting	Regulus	12	100	Mundane Rune	8	1200	Decorative Wax	8	750	Obsidian	15	15	Rakeipa	16	140	Grain Solvent	3	700	5000	26365	27000
Dark Elf Candle, Claw Base		Fine	Blacksmithing	Lighting	Regulus	4	100	Obsidian	5	15	Rakeipa	4	140	Mundane Rune	3	1200	Honing Stone	9	16				1000	5779	6000
Dark Elf Candle, Votive Tray		Epic	Blacksmithing	Lighting	Regulus	12	100	Mundane Rune	8	1200	Decorative Wax	8	750	Obsidian	15	15	Rakeipa	16	140	Grain Solvent	3	700	5000	26365	27000
Dark Elf Caravan, Cargo		Superior	Woodworking	Courtyard	Heartwood	13	1200	Regulus	8	100	Bast	8	30	Obsidian	10	15	Turpen	6	30				2000	18970	19000
Dark Elf Carpet, Ashen		Superior	Clothing	Parlor	Bast	11	30	Mundane Rune	7	1200	Alchemical Resin	7	30	Obsidian	10	15	Embroidery	6	21				2000	11216	12000
Dark Elf Carpet, Fungal		Superior	Clothing	Parlor	Bast	8	30	Mundane Rune	6	1200	Alchemical Resin	5	30	Obsidian	10	15	Embroidery	6	21				2000	9866	10000
Dark Elf Carpet, Mossy		Superior	Clothing	Parlor	Bast	9	30	Mundane Rune	6	1200	Alchemical Resin	6	30	Obsidian	10	15	Embroidery	6	21				2000	9926	10000
Dark Elf Carpet, Mottled		Fine	Clothing	Parlor	Bast	6	30	Alchemical Resin	4	30	Obsidian	5	15	Hemming	9	15							1000	1510	2000
Dark Elf Carpet, Patterned		Fine	Clothing	Parlor	Bast	5	30	Obsidian	5	15	Hemming	9	15										1000	1360	2000
Dark Elf Cart, Merchant		Fine	Woodworking	Courtyard	Heartwood	7	1200	Obsidian	5	15	Pitch	9	100										1000	10375	11000
Dark Elf Cauldron, Banded		Superior	Blacksmithing	Hearth	Regulus	9	100	Decorative Wax	6	750	Obsidian	10	15	Dwarven Oil	6	22							2000	7682	8000
Dark Elf Cauldron, Ringed		Epic	Blacksmithing	Hearth	Regulus	13	100	Mundane Rune	8	1200	Alchemical Resin	9	30	Obsidian	15	15	Grain Solvent	3	700				5000	18495	19000
Dark Elf Censer, Hanging		Epic	Blacksmithing	Undercroft	Regulus	12	100	Mundane Rune	8	1200	Alchemical Resin	8	30	Obsidian	15	15	Grain Solvent	3	700				5000	18365	19000
Dark Elf Chair, Angled		Fine	Woodworking	Dining	Heartwood	5	1200	Regulus	3	100	Bast	3	30	Obsidian	5	15	Pitch	9	100				1000	8365	9000
Dark Elf Chest of Drawers		Fine	Woodworking	Suite	Heartwood	6	1200	Regulus	4	100	Alchemical Resin	3	30	Obsidian	5	15	Pitch	9	100				1000	9665	10000
Dark Elf Counter, Bar		Superior	Woodworking	Dining	Heartwood	10	1200	Regulus	7	100	Alchemical Resin	6	30	Obsidian	10	15	Turpen	6	30				2000	15210	16000
Dark Elf Counter, Block		Epic	Woodworking	Dining	Heartwood	13	1200	Regulus	9	100	Alchemical Resin	8	30	Obsidian	15	15	Mastic	3	1500				5000	26465	27000
Dark Elf Counter, Corner		Epic	Woodworking	Dining	Heartwood	12	1200	Regulus	9	100	Alchemical Resin	8	30	Obsidian	15	15	Mastic	3	1500				5000	25265	26000
Dark Elf Cruet, Glass		Superior	Alchemy	Hearth	Alchemical Resin	9	30	Mundane Rune	6	1200	Decorative Wax	6	750	Obsidian	10	15							2000	14120	15000
Dark Elf Decanter, Glass		Superior	Alchemy	Hearth	Alchemical Resin	9	30	Mundane Rune	6	1200	Decorative Wax	6	750	Obsidian	10	15							2000	14120	15000
Dark Elf Desk, Angled		Superior	Woodworking	Library	Heartwood	11	1200	Regulus	8	100	Alchemical Resin	6	30	Obsidian	10	15	Turpen	6	30				2000	16510	17000
Dark Elf Divider, Folded		Epic	Woodworking	Suite	Heartwood	13	1200	Regulus	8	100	Alchemical Resin	9	30	Obsidian	15	15	Mastic	3	1500				5000	26395	27000
Dark Elf Dresser, Angled		Superior	Woodworking	Suite	Heartwood	10	1200	Obsidian	10	15	Turpen	6	30										2000	14330	15000
Dark Elf End Table, Angled		Superior	Woodworking	Parlor	Heartwood	11	1200	Regulus	7	100	Alchemical Resin	7	30	Obsidian	10	15	Turpen	6	30				2000	16440	17000
Dark Elf Flags, Hanging		Superior	Clothing	Parlor	Bast	9	30	Mundane Rune	6	1200	Alchemical Resin	6	30	Obsidian	10	15	Embroidery	6	21				2000	9926	10000
Dark Elf Hook, Wall		Superior	Blacksmithing	Gallery	Regulus	11	100	Mundane Rune	7	1200	Heartwood	7	1200	Obsidian	10	15	Dwarven Oil	6	22				2000	20182	21000
Dark Elf Kettle Cooker		Epic	Blacksmithing	Hearth	Regulus	13	100	Mundane Rune	8	1200	Decorative Wax	9	750	Obsidian	15	15	Grain Solvent	3	700				5000	24975	25000
Dark Elf Lantern, Ashen		Superior	Blacksmithing	Lighting	Regulus	11	100	Mundane Rune	7	1200	Alchemical Resin	7	30	Obsidian	10	15	Rakeipa	16	140	Dwarven Oil	6	22	2000	14232	15000
Dark Elf Lantern, Caged		Epic	Blacksmithing	Lighting	Regulus	9	100	Mundane Rune	6	1200	Decorative Wax	7	750	Obsidian	15	15	Rakeipa	10	140	Grain Solvent	3	700	5000	22075	23000
Dark Elf Lantern, Hanging		Epic	Blacksmithing	Lighting	Regulus	9	100	Mundane Rune	6	1200	Decorative Wax	7	750	Obsidian	15	15	Rakeipa	10	140	Grain Solvent	3	700	5000	22075	23000
Dark Elf Lantern, Oil		Fine	Alchemy	Lighting	Alchemical Resin	5	30	Obsidian	5	15	Rakeipa	6	140	Mundane Rune	3	1200							1000	5665	6000
Dark Elf Medallion, Tribunal		Epic	Blacksmithing	Gallery	Regulus	14	100	Mundane Rune	9	1200	Alchemical Resin	9	30	Obsidian	15	15	Grain Solvent	3	700				5000	19795	20000
Dark Elf Nightstand, Angled		Epic	Woodworking	Suite	Heartwood	12	1200	Regulus	8	100	Alchemical Resin	8	30	Obsidian	15	15	Mastic	3	1500				5000	25165	26000
Dark Elf Pillow, Body		Superior	Clothing	Suite	Bast	8	30	Alchemical Resin	5	30	Decorative Wax	6	750	Obsidian	10	15	Embroidery	6	21				2000	7166	8000
Dark Elf Pillow, Cushion		Epic	Clothing	Suite	Bast	12	30	Mundane Rune	8	1200	Alchemical Resin	8	30	Obsidian	15	15	Elegant Lining	3	300				5000	16325	17000
Dark Elf Pillow, Roll		Epic	Clothing	Suite	Bast	12	30	Mundane Rune	8	1200	Alchemical Resin	8	30	Obsidian	15	15	Elegant Lining	3	300				5000	16325	17000
Dark Elf Pot, Banded		Superior	Blacksmithing	Hearth	Regulus	11	100	Mundane Rune	7	1200	Alchemical Resin	7	30	Obsidian	10	15	Dwarven Oil	6	22				2000	11992	12000
Dark Elf Pot, Scaled		Superior	Blacksmithing	Hearth	Regulus	6	100	Obsidian	10	15	Dwarven Oil	6	22										2000	2882	3000
Dark Elf Rack, Barrel		Fine	Woodworking	Hearth	Heartwood	7	1200	Obsidian	5	15	Pitch	9	100										1000	10375	11000
Dark Elf Rug, Fungal		Epic	Clothing	Parlor	Bast	10	30	Mundane Rune	7	1200	Alchemical Resin	7	30	Obsidian	15	15	Elegant Lining	3	300				5000	15035	16000
Dark Elf Rug, Mossy		Epic	Clothing	Parlor	Bast	13	30	Mundane Rune	8	1200	Alchemical Resin	9	30	Obsidian	15	15	Elegant Lining	3	300				5000	16385	17000
Dark Elf Rug, Striated		Epic	Clothing	Parlor	Bast	13	30	Mundane Rune	9	1200	Alchemical Resin	8	30	Obsidian	15	15	Elegant Lining	3	300				5000	17555	18000
Dark Elf Runner, Bordered		Fine	Clothing	Parlor	Bast	4	30	Obsidian	5	15	Hemming	9	15										1000	1330	2000
Dark Elf Shelf, Barrel		Superior	Woodworking	Library	Heartwood	10	1200	Regulus	8	100	Alchemical Resin	5	30	Obsidian	10	15	Turpen	6	30				2000	15280	16000
Dark Elf Shelf, Wall		Fine	Woodworking	Library	Heartwood	6	1200	Regulus	4	100	Alchemical Resin	4	30	Obsidian	5	15	Pitch	9	100				1000	9695	10000
Dark Elf Sofa, Angled		Epic	Woodworking	Parlor	Heartwood	13	1200	Regulus	8	100	Bast	9	30	Obsidian	15	15	Mastic	3	1500				5000	26395	27000
Dark Elf Stool, Angled		Superior	Woodworking	Workshop	Heartwood	9	1200	Regulus	5	100	Bast	7	30	Obsidian	10	15	Turpen	6	30				2000	13840	14000
Dark Elf Streetlamp, Stone		Superior	Blacksmithing	Lighting	Regulus	9	100	Mundane Rune	6	1200	Heartwood	6	1200	Obsidian	10	15	Rakeipa	12	140	Dwarven Oil	6	22	2000	19262	20000
Dark Elf Streetlamps, Stone		Superior	Blacksmithing	Lighting	Regulus	11	100	Mundane Rune	7	1200	Heartwood	7	1200	Obsidian	10	15	Rakeipa	16	140	Dwarven Oil	6	22	2000	22422	23000
Dark Elf Streetpost, Banner		Fine	Woodworking	Courtyard	Heartwood	7	1200	Obsidian	5	15	Pitch	9	100										1000	10375	11000
Dark Elf Streetpost, Banners		Fine	Woodworking	Courtyard	Heartwood	9	1200	Obsidian	5	15	Pitch	9	100										1000	12775	13000
Dark Elf Table, Formal		Fine	Woodworking	Dining	Heartwood	6	1200	Obsidian	5	15	Pitch	9	100										1000	9175	10000
Dark Elf Table, Tea		Epic	Woodworking	Parlor	Heartwood	12	1200	Regulus	9	100	Alchemical Resin	6	30	Obsidian	15	15	Mastic	3	1500				5000	25205	26000
Dark Elf Tapestry, Emblazoned		Fine	Clothing	Parlor	Bast	7	30	Alchemical Resin	4	30	Obsidian	5	15	Hemming	9	15							1000	1540	2000
Dark Elf Tent, Canopy		Legendary	Clothing		Bast	15	30	Regulus	15	100	Alchemical Resin	12	30	Ochre	8	15	Obsidian	30	15	Dreugh Wax	1	20000	10000	32880	33000
Dark Elf Thurible, Caged		Epic	Blacksmithing	Undercroft	Regulus	9	100	Alchemical Resin	7	30	Decorative Wax	6	750	Obsidian	15	15	Grain Solvent	3	700				5000	12935	13000
Dark Elf Trestle, Scaled		Superior	Woodworking	Dining	Heartwood	9	1200	Regulus	6	100	Alchemical Resin	6	30	Obsidian	10	15	Turpen	6	30				2000	13910	14000
Dark Elf Trunk, Buckled		Epic	Woodworking	Suite	Heartwood	12	1200	Regulus	8	100	Bast	8	30	Obsidian	15	15	Mastic	3	1500				5000	25165	26000
Dark Elf Urn, Banded		Fine	Blacksmithing	Hearth	Regulus	5	100	Obsidian	5	15	Honing Stone	9	16										1000	1719	2000
Dark Elf Wagon, Merchant		Superior	Woodworking	Courtyard	Heartwood	12	1200	Regulus	6	100	Alchemical Resin	9	30	Obsidian	10	15	Turpen	6	30				2000	17600	18000
Dark Elf Wardrobe, Angled		Epic	Woodworking	Suite	Heartwood	13	1200	Regulus	9	100	Mundane Rune	8	1200	Obsidian	15	15	Mastic	3	1500				5000	35825	36000
Dark Elf Wardrobe, Scaled		Superior	Woodworking	Suite	Heartwood	11	1200	Regulus	7	100	Alchemical Resin	7	30	Obsidian	10	15	Turpen	6	30				2000	16440	17000
Dark Elf Wine Rack, Sturdy		Superior	Woodworking	Hearth	Heartwood	7	1200	Obsidian	10	15	Turpen	6	30										2000	10730	11000
Deadlands Archway 		Epic	Enchanting	Structures	Mundane Rune	13	1200	Ochre	7	15	Clean Pelt	7	8	Daedra Heart	16	400	Rekuta	3	70				5000	27371	28000
Deadlands Archway, Large		Superior	Enchanting	Structures	Mundane Rune	9	1200	Alchemical Resin	6	30	Daedra Heart	12	400	Denata	6	8							2000	17828	18000
Deadlands Armoire, Etched		Epic	Woodworking	Suite	Heartwood	13	1200	Regulus	10	100	Ochre	6	15	Daedra Heart	16	400	Mastic	3	1500				5000	32590	33000
Deadlands Bench, Etched Wide		Superior	Blacksmithing	Dining	Regulus	9	100	Mundane Rune	6	1200	Daedra Heart	12	400	Dwarven Oil	6	22							2000	15032	16000
Deadlands Bookcase, Ashen		Superior	Woodworking	Library	Heartwood	9	1200	Regulus	6	100	Daedra Heart	12	400	Turpen	6	30							2000	18380	19000
Deadlands Bookcase, Etched		Superior	Woodworking	Library	Heartwood	9	1200	Regulus	6	100	Daedra Heart	12	400	Turpen	6	30							2000	18380	19000
Deadlands Bookcase, Large Ashen		Epic	Woodworking	Library	Heartwood	13	1200	Mundane Rune	10	1200	Bast	7	30	Daedra Heart	16	400	Mastic	3	1500				5000	43710	44000
Deadlands Bookcase, Large Cluttered		Epic	Woodworking	Library	Heartwood	13	1200	Mundane Rune	10	1200	Bast	7	30	Daedra Heart	16	400	Mastic	3	1500				5000	43710	44000
Deadlands Brazier, Bladed Cage		Epic	Blacksmithing	Lighting	Regulus	13	100	Mundane Rune	10	1200	Alchemical Resin	7	30	Daedra Heart	16	400	Grain Solvent	3	700	Rakeipa	7	140	5000	27990	28000
Deadlands Brazier, Bladed Pillar		Epic	Blacksmithing	Lighting	Regulus	13	100	Mundane Rune	10	1200	Alchemical Resin	7	30	Daedra Heart	16	400	Grain Solvent	3	700	Rakeipa	7	140	5000	27990	28000
Deadlands Brazier, Bladed Tall		Epic	Blacksmithing	Lighting	Regulus	13	100	Mundane Rune	10	1200	Alchemical Resin	7	30	Daedra Heart	16	400	Grain Solvent	3	700	Rakeipa	7	140	5000	27990	28000
Deadlands Brazier, Large Etched		Epic	Blacksmithing	Lighting	Regulus	13	100	Ochre	7	15	Alchemical Resin	7	30	Daedra Heart	16	400	Grain Solvent	3	700	Rakeipa	7	140	5000	16095	17000
Deadlands Candelabra, Tall		Epic	Blacksmithing	Lighting	Regulus	13	100	Clean Pelt	10	8	Alchemical Resin	7	30	Daedra Heart	16	400	Grain Solvent	3	700	Rakeipa	7	140	5000	16070	17000
Deadlands Candelabra, Tall Caged		Epic	Blacksmithing	Lighting	Regulus	13	100	Clean Pelt	10	8	Alchemical Resin	7	30	Daedra Heart	16	400	Grain Solvent	3	700	Rakeipa	7	140	5000	16070	17000
Deadlands Candleholder, Etched		Epic	Blacksmithing	Lighting	Alchemical Resin	9	30	Regulus	13	100	Ochre	6	15	Daedra Heart	16	400	Elegant Lining	3	300	Rakeipa	7	140	5000	14940	15000
Deadlands Carpet, Large		Epic	Clothing	Parlor	Bast	13	30	Ochre	7	15	Regulus	7	100	Daedra Heart	16	400	Elegant Lining	3	300				5000	13495	14000
Deadlands Ceiling		Superior	Enchanting	Structures	Mundane Rune	9	1200	Heartwood	6	1200	Daedra Heart	12	400	Denata	6	8							2000	24848	25000
Deadlands Chair, Ashen		Superior	Woodworking	Dining	Heartwood	9	1200	Alchemical Resin	6	30	Daedra Heart	12	400	Turpen	6	30							2000	17960	18000
Deadlands Chair, Etched		Superior	Blacksmithing	Dining	Regulus	9	100	Heartwood	6	1200	Daedra Heart	12	400	Dwarven Oil	6	22							2000	15032	16000
Deadlands Column, Heavy		Superior	Enchanting	Courtyard	Mundane Rune	9	1200	Regulus	6	100	Daedra Heart	12	400	Denata	6	8							2000	18248	19000
Deadlands Column, Heavy Roofed		Superior	Enchanting	Courtyard	Mundane Rune	9	1200	Regulus	6	100	Daedra Heart	12	400	Denata	6	8							2000	18248	19000
Deadlands Column, Slender		Superior	Enchanting	Courtyard	Mundane Rune	9	1200	Regulus	6	100	Daedra Heart	12	400	Denata	6	8							2000	18248	19000
Deadlands Crystal Brazier		Superior	Blacksmithing	Lighting	Regulus	9	100	Alchemical Resin	6	30	Daedra Heart	12	400	Dwarven Oil	6	22	Rakeipa	4	140				2000	8572	9000
Deadlands Curtains, Closed		Superior	Clothing	Parlor	Bast	9	30	Heartwood	6	1200	Daedra Heart	12	400	Embroidery	6	21							2000	14396	15000
Deadlands Curtains, Open		Superior	Clothing	Parlor	Bast	9	30	Heartwood	6	1200	Daedra Heart	12	400	Embroidery	6	21							2000	14396	15000
Deadlands Door		Epic	Enchanting	Structures	Mundane Rune	13	1200	Regulus	10	100	Clean Pelt	7	8	Daedra Heart	16	400	Rekuta	3	70				5000	28266	29000
Deadlands Floor, Large Square		Superior	Enchanting	Structures	Mundane Rune	9	1200	Regulus	6	100	Daedra Heart	12	400	Denata	6	8							2000	18248	19000
Deadlands Gems, Levitating		Epic	Alchemy	Undercroft	Alchemical Resin	12	30	Mundane Rune	10	1200	Ochre	6	15	Daedra Heart	16	400							5000	23850	24000
Deadlands Lightning Rod, Crescent		Epic	Enchanting	Courtyard	Mundane Rune	13	1200	Alchemical Resin	9	30	Ochre	6	15	Daedra Heart	16	400	Rekuta	3	70	Meip	7	40	5000	27850	28000
Deadlands Lightning Rod, Spike		Epic	Enchanting	Courtyard	Mundane Rune	13	1200	Alchemical Resin	9	30	Ochre	6	15	Daedra Heart	16	400	Rekuta	3	70				5000	27570	28000
Deadlands Portcullis		Superior	Blacksmithing	Structures	Regulus	9	100	Clean Pelt	6	8	Daedra Heart	12	400	Dwarven Oil	6	22							2000	7880	8000
Deadlands Post, Short Wall		Fine	Enchanting	Courtyard	Mundane Rune	5	1200	Daedra Heart	6	400	Jejota	9	2										1000	9418	10000
Deadlands Rug		Superior	Clothing	Parlor	Bast	9	30	Regulus	6	100	Daedra Heart	12	400	Embroidery	6	21							2000	7796	8000
Deadlands Rug, Small		Superior	Clothing	Parlor	Bast	9	30	Regulus	6	100	Daedra Heart	12	400	Embroidery	6	21							2000	7796	8000
Deadlands Sconce, Large		Superior	Blacksmithing	Lighting	Regulus	9	100	Ochre	5	15	Daedra Heart	12	400	Dwarven Oil	6	22							2000	7907	8000
Deadlands Stairway		Fine	Enchanting	Structures	Mundane Rune	5	1200	Daedra Heart	6	400	Jejota	9	2										1000	9418	10000
Deadlands Stairway, Inner Corner		Fine	Enchanting	Structures	Mundane Rune	5	1200	Daedra Heart	6	400	Jejota	9	2										1000	9418	10000
Deadlands Stairway, Outer Corner		Fine	Enchanting	Structures	Mundane Rune	5	1200	Daedra Heart	6	400	Jejota	9	2										1000	9418	10000
Deadlands Stairway, Wide		Superior	Enchanting	Structures	Mundane Rune	9	1200	Regulus	6	100	Daedra Heart	12	400	Denata	6	8							2000	18248	19000
Deadlands Table, Ashen		Superior	Woodworking	Dining	Heartwood	9	1200	Alchemical Resin	6	30	Daedra Heart	12	400	Turpen	6	30							2000	17960	18000
Deadlands Table, Ashen Wide		Superior	Woodworking	Dining	Heartwood	9	1200	Alchemical Resin	6	30	Daedra Heart	12	400	Turpen	6	30							2000	17960	18000
Deadlands Table, Etched		Superior	Woodworking	Dining	Heartwood	9	1200	Bast	6	30	Daedra Heart	12	400	Turpen	6	30							2000	17960	18000
