Name	Quality	Category	Resin	Wax	Ochre	Rune	Wood	Regulus	Bast	Pelt	Patch	Mat Sum
Deadlands Curtains, Closed	Superior	Parlor					6.0		9.0		Deadlands	15.0
Deadlands Curtains, Open	Superior	Parlor					6.0		9.0		Deadlands	15.0
Deadlands Door	Epic	Structures				13.0		10.0		7.0	Deadlands	30.0
Deadlands Floor, Large Square	Superior	Structures				9.0		6.0			Deadlands	15.0
Deadlands Gems, Levitating	Epic	Undercroft	12.0		6.0	10.0					Deadlands	28.0
Deadlands Lightning Rod, Crescent	Epic	Courtyard	9.0		6.0	13.0					Deadlands	28.0
Deadlands Lightning Rod, Spike	Epic	Courtyard	9.0		6.0	13.0					Deadlands	28.0
Deadlands Portcullis	Superior	Structures						9.0		6.0	Deadlands	15.0
Deadlands Post, Short Wall	Fine	Courtyard				5.0					Deadlands	5.0
Deadlands Rug	Superior	Parlor						6.0	9.0		Deadlands	15.0
Deadlands Rug, Small	Superior	Parlor						6.0	9.0		Deadlands	15.0
Deadlands Sconce, Large	Superior	Lighting			5.0			9.0			Deadlands	14.0
Deadlands Stairway	Fine	Structures				5.0					Deadlands	5.0
Deadlands Stairway, Inner Corner	Fine	Structures				5.0					Deadlands	5.0
Deadlands Stairway, Outer Corner	Fine	Structures				5.0					Deadlands	5.0
Deadlands Stairway, Wide	Superior	Structures				9.0		6.0			Deadlands	15.0
Deadlands Table, Ashen	Superior	Dining	6.0				9.0				Blackwood	15.0
Deadlands Table, Ashen Wide	Superior	Dining	6.0				9.0				Blackwood	15.0
Deadlands Table, Etched	Superior	Dining					9.0		6.0		Deadlands	15.0
Deadlands Table, Long Etched	Epic	Dining			6.0		13.0		10.0		Deadlands	29.0
Deadlands Tapestry	Superior	Parlor					6.0		9.0		Deadlands	15.0
Deadlands Tapestry, Long	Superior	Parlor					6.0		9.0		Deadlands	15.0
Deadlands Tenderizer	Superior	Undercroft			5.0			9.0			Deadlands	14.0
Deadlands Torture Rack	Legendary	Undercroft		9.0		15.0	13.0	15.0			Waking Flame	52.0
Deadlands Torture Table, Etched	Superior	Undercroft			5.0			9.0			Deadlands	14.0
Deadlands Urn, Inscribed	Superior	Undercroft				6.0		9.0			Blackwood	15.0
Deadlands Wall Spikes	Fine	Lighting						5.0			Deadlands	5.0
Deadlands Wall, Short	Fine	Structures				5.0					Deadlands	5.0
Deadlands Wall, Short Curved	Fine	Structures				5.0					Deadlands	5.0
Deadlands Wall, Tall	Superior	Structures				9.0		6.0			Deadlands	15.0
Deadlands Wall, Wide	Epic	Structures	7.0			13.0		10.0			Deadlands	30.0
Deadlands Wardrobe, Ashen	Superior	Suite					9.0	6.0			Blackwood	15.0
Deadlands Brazier, Bladed	Superior	Lighting				6.0		9.0			Blackwood	15.0
Desk, Engraved	Superior	Library	6.0			9.0	12.0	6.0			Homestead	33.0
Display Case, Large	Epic	Gallery	9.0	6.0		6.0	13.0				Summerset	34.0
Display Case, Specimen	Epic	Gallery	6.0	8.0		6.0	12.0				Summerset	32.0
Display Case, Standing	Epic	Gallery	7.0	7.0		7.0	13.0				Summerset	34.0
Display Case, Standing Arched	Epic	Gallery	7.0	7.0		6.0	12.0				Summerset	32.0
Dragonfruit, Wax	Fine	Hearth		4.0							Murkmire	4.0
Dres Bowl, Dinner	Fine	Hearth		5.0			3.0				Morrowind / Clockwork	8.0
Dres Bowl, Empty	Superior	Hearth		7.0			5.0				Morrowind / Clockwork	12.0
Dres Bowl, Saltrice Mash	Superior	Hearth		8.0			6.0				Morrowind / Clockwork	14.0
Dres Bowl, Serving	Fine	Hearth		5.0			3.0				Morrowind / Clockwork	8.0
Dres Candles, Meditation	Superior	Lighting	5.0	7.0							Morrowind / Clockwork	12.0
Dres Cannister, Portable	Fine	Hearth						5.0			Morrowind / Clockwork	5.0
Dres Carpet, Chains	Fine	Parlor							6.0		Morrowind / Clockwork	6.0
Dres Carpet, Fertile Peat	Superior	Parlor	5.0	5.0					9.0		Morrowind / Clockwork	19.0
Dres Cauldron, Floral Banded	Superior	Hearth				6.0		9.0			Morrowind / Clockwork	15.0
Dres Censer, Chains	Superior	Undercroft	9.0			5.0		5.0			Morrowind / Clockwork	19.0
Dres Cup, Empty Greef	Superior	Hearth		8.0		5.0					Morrowind / Clockwork	13.0
Dres Cup, Empty Mazte	Fine	Hearth		5.0							Morrowind / Clockwork	5.0
Dres Cup, Empty Sujamma	Epic	Hearth		10.0		9.0	6.0				Morrowind / Clockwork	25.0
Dres Cup, Greef	Superior	Hearth		9.0		6.0					Morrowind / Clockwork	15.0
Dres Cup, Mazte	Fine	Hearth		5.0							Morrowind / Clockwork	5.0
Dres Cup, Sujamma	Epic	Hearth		10.0		9.0	7.0				Morrowind / Clockwork	26.0
Dres Divider, Chains	Epic	Suite		6.0			12.0	6.0	8.0		Morrowind / Clockwork	32.0
Dres Divider, Honeycomb	Epic	Suite		6.0			12.0	6.0	8.0		Morrowind / Clockwork	32.0
Dres Divider, Screen	Epic	Suite		6.0			12.0	8.0	6.0		Morrowind / Clockwork	32.0
Dres Incense Stand, Chains	Epic	Undercroft	11.0			7.0		8.0			Morrowind / Clockwork	26.0
Dres Jar, Stoneflower	Superior	Hearth	6.0			9.0					Morrowind / Clockwork	15.0
Dres Lamp, Portable	Fine	Lighting	5.0					3.0			Morrowind / Clockwork	8.0
Dres Lantern, Stationary	Fine	Lighting	6.0					3.0			Morrowind / Clockwork	9.0
Dres Pot, Sauce	Fine	Hearth						6.0			Morrowind / Clockwork	6.0
Dres Rug, Chains	Epic	Parlor	9.0			7.0			12.0		Morrowind / Clockwork	28.0
Dres Runner, Chains	Epic	Parlor	9.0			6.0			11.0		Morrowind / Clockwork	26.0
Dres Sewing Kit, Master's	Legendary	Workshop				9.0	9.0	13.0	15.0		Morrowind / Clockwork	46.0
Dres Shelf, Block	Fine	Library					5.0				Morrowind / Clockwork	5.0
Dres Sideboard, Display	Superior	Hearth				5.0	7.0				Morrowind / Clockwork	12.0
Dres Table, Kitchen	Superior	Dining	5.0			5.0	9.0				Morrowind / Clockwork	19.0
Dres Tapestry, Vines	Superior	Parlor	6.0						9.0		Morrowind / Clockwork	15.0
Dres Teapot, Ceramic	Superior	Hearth		5.0		9.0		5.0			Morrowind / Clockwork	19.0
Dres Trestle, Corridor	Superior	Dining	5.0				8.0				Morrowind / Clockwork	13.0
Drumstick	Superior	Hearth		8.0							Homestead	8.0
Dwarven Altar, Stairs	Epic	Structures	6.0			11.0		9.0			Morrowind / Clockwork	26.0
Dwarven Amphora, Ornate Polished	Epic	Hearth			7.0	7.0		13.0			Markarth	27.0
Dwarven Amphora, Sealed	Superior	Hearth	5.0			9.0		5.0			Morrowind / Clockwork	19.0
Dwarven Basin, Forged	Superior	Undercroft				8.0		5.0			Morrowind / Clockwork	13.0
Dwarven Bed, Reach Furs	Superior	Suite						6.0	9.0		Markarth	15.0
Dwarven Bed, Reach Furs Canopy	Epic	Suite						10.0	13.0	7.0	Markarth	30.0
Dwarven Bed, Reach Furs Double	Epic	Suite						10.0	13.0	7.0	Markarth	30.0
Dwarven Bench, Forged	Superior	Dining				6.0		8.0			Morrowind / Clockwork	14.0
Dwarven Bench, Ornate Granite	Superior	Dining			5.0	9.0					Markarth	14.0
Dwarven Boiler, Central	Epic	Structures	6.0			11.0		13.0			Morrowind / Clockwork	30.0
Dwarven Bookcase, Full	Epic	Library	6.0			11.0		9.0			Morrowind / Clockwork	26.0
Dwarven Bookcase, Granite	Superior	library				9.0	6.0				Markarth	15.0
Dwarven Bookcase, Granite Filled	Epic	library			6.0	13.0	10.0				Markarth	29.0
Dwarven Bowl, Forged	Superior	Hearth		7.0				9.0			Morrowind / Clockwork	16.0
Dwarven Bowl, Forged Serving	Superior	Hearth	5.0	5.0				9.0			Morrowind / Clockwork	19.0
Dwarven Brazier, Square Polished	Epic	Lighting				7.0	10.0	13.0			Markarth	30.0
Dwarven Cage, Polished Specimen	Superior	Workshop			6.0	6.0					Markarth	12.0
Dwarven Candles, Cup	Superior	Lighting		9.0				5.0			Morrowind / Clockwork	14.0
Dwarven Candles, Plate	Superior	Lighting	5.0	5.0				9.0			Morrowind / Clockwork	19.0
Dwarven Candlestick, Laboratory	Epic	Lighting	6.0	10.0		7.0		7.0			Morrowind / Clockwork	30.0
Dwarven Candlestick, Orrery	Epic	Lighting	6.0	10.0		8.0		6.0			Morrowind / Clockwork	30.0
Dwarven Candlestick, Polished	Fine	Lighting						5.0			Markarth	5.0
Dwarven Cannister, Sealed	Fine	Hearth						5.0			Morrowind / Clockwork	5.0
Dwarven Chair, Ornate Polished	Superior	Dining				6.0		9.0			Markarth	15.0
Dwarven Chandelier, Barred	Epic	Lighting	8.0			7.0		11.0			Morrowind / Clockwork	26.0
Dwarven Chandelier, Braced	Epic	Lighting	7.0			8.0		11.0			Morrowind / Clockwork	26.0
Dwarven Chandelier, Caged	Epic	Lighting	9.0			6.0		11.0			Morrowind / Clockwork	26.0
Dwarven Chandelier, Framework	Superior	Lighting	5.0			5.0		8.0			Morrowind / Clockwork	18.0
Dwarven Cooking Implements, Hanging	Superior	Hearth					6.0	9.0			Markarth	15.0
Dwarven Corner Bench, Ornate Polished	Epic	Dining				10.0	7.0	13.0			Markarth	30.0
Dwarven Corner Shelf, Granite	Fine	Library				5.0					Markarth	5.0
Dwarven Counter, Granite	Epic	Dining	7.0			13.0		10.0			Markarth	30.0
Dwarven Crystal Sconce, Mirror	Legendary	Lighting	10.0		10.0	15.0		13.0			Flames of Ambition	48.0
Dwarven Desk, Ornate Polished	Epic	Library	7.0			10.0		13.0			Markarth	30.0
Dwarven Dinner Bowl, Hearty Stew	Superior	Hearth		7.0				6.0			Markarth	13.0
Dwarven Divider, Ornate Granite	Superior	Suite				9.0		6.0			Markarth	15.0
Dwarven Divider, Ornate Polished	Epic	Suite				10.0	7.0	13.0			Markarth	30.0
Dwarven Dresser, Granite	Superior	Suite				9.0		6.0			Markarth	15.0
Dwarven End Table, Columnar Granite	Superior	Dining				9.0		6.0			Markarth	15.0
Dwarven Engine, Boiler	Superior	Workshop	5.0			7.0		9.0			Morrowind / Clockwork	21.0
Dwarven Engine, Fan	Epic	Workshop	6.0			10.0		12.0			Morrowind / Clockwork	28.0
Dwarven Engine, Switch	Epic	Workshop	6.0			11.0		13.0			Morrowind / Clockwork	30.0
Dwarven Engine, Turbine	Epic	Workshop	6.0			11.0		13.0			Morrowind / Clockwork	30.0
Dwarven Goblet, Forged	Superior	Hearth				5.0		8.0			Morrowind / Clockwork	13.0
Dwarven Gyroscope, Masterwork	Legendary	Workshop	11.0			13.0		15.0			Morrowind / Clockwork	39.0
Dwarven Jar, Sealed	Superior	Hearth	5.0	5.0				9.0			Morrowind / Clockwork	19.0
Dwarven Jug, Sealed	Superior	Hearth		5.0		5.0		9.0			Morrowind / Clockwork	19.0
Dwarven Kettle, Ornate Polished	Epic	Hearth	7.0			10.0		13.0			Markarth	30.0
Dwarven Lamp, Conal Frustum Cage	Epic	Lighting			6.0	10.0		13.0			Markarth	29.0
Dwarven Lamp, Cylinder Cage	Epic	Lighting			6.0	10.0		13.0			Markarth	29.0
Dwarven Lamppost, Powered	Epic	Lighting	12.0	5.0		7.0		8.0			Morrowind / Clockwork	32.0
Dwarven Lantern, Oil	Epic	Lighting	11.0	6.0		6.0		7.0			Morrowind / Clockwork	30.0
Dwarven Low Table, Ornate Polished	Epic	Dining	7.0			10.0		13.0			Markarth	30.0
Dwarven Minecart, Ornate	Legendary	Courtyard			10.0	13.0	11.0	15.0			Flames of Ambition	49.0
Dwarven Mirror, Polished	Superior	Suite			6.0			6.0			Markarth	12.0
Dwarven Mug, Polished	Fine	Hearth						5.0			Markarth	5.0
Dwarven Nightstand, Granite	Superior	Suite				9.0		6.0			Markarth	15.0
Dwarven Pew, Ornate Polished	Epic	Dining			6.0	10.0		13.0			Markarth	29.0
Dwarven Pew, Refined	Epic	Parlor	6.0			10.0		12.0			Morrowind / Clockwork	28.0
Dwarven Pipe Cap, Bolted	Fine	Workshop				4.0		6.0			Morrowind / Clockwork	10.0
Dwarven Pipe, Corner	Superior	Workshop				7.0		9.0			Morrowind / Clockwork	16.0
Dwarven Pipe, Elbow	Superior	Workshop				6.0		8.0			Morrowind / Clockwork	14.0
Dwarven Pipe, Full Column	Superior	Workshop				7.0		9.0			Morrowind / Clockwork	16.0
Dwarven Pipe, Half Column	Superior	Workshop				6.0		8.0			Morrowind / Clockwork	14.0
Dwarven Pipe, Quarter Column	Superior	Workshop				5.0		8.0			Morrowind / Clockwork	13.0
Dwarven Pipeline Cap, Sealed	Fine	Workshop				3.0		5.0			Morrowind / Clockwork	8.0
Dwarven Pipeline, Elbow	Superior	Workshop	4.0			5.0		8.0			Morrowind / Clockwork	17.0
Dwarven Pipeline, Full Column	Epic	Workshop	6.0			9.0		11.0			Morrowind / Clockwork	26.0
Dwarven Pipeline, Junction	Superior	Workshop	5.0			6.0		9.0			Morrowind / Clockwork	20.0
Dwarven Plate, Forged	Superior	Hearth		5.0		5.0		9.0			Morrowind / Clockwork	19.0
Dwarven Plate, Full Breakfast	Superior	Hearth		7.0				6.0			Markarth	13.0
Dwarven Plate, Polished	Fine	Hearth						5.0			Markarth	5.0
Dwarven Platform, Steps	Epic	Structures	6.0			11.0		9.0			Morrowind / Clockwork	26.0
Dwarven Pot, Polished	Superior	Hearth				6.0		9.0			Markarth	15.0
Dwarven Pot, Sealed	Fine	Hearth						5.0			Morrowind / Clockwork	5.0
Dwarven Potted Plant, Polished Vase	Superior	Conservatory					6.0	9.0			Markarth	15.0
Dwarven Relief, Connected Circles	Epic	Gallery	7.0			10.0		13.0			Markarth	30.0
Dwarven Relief, Tracks	Superior	Gallery				6.0		9.0			Markarth	15.0
Dwarven Sconce, Barred	Epic	Lighting	11.0			7.0		8.0			Morrowind / Clockwork	26.0
Dwarven Sconce, Framework	Superior	Lighting	8.0					6.0			Morrowind / Clockwork	14.0
Dwarven Sconce, Powered	Epic	Lighting	11.0	5.0		6.0		8.0			Morrowind / Clockwork	30.0
Dwarven Serving Dish, Vegetable Soup	Epic	Hearth	7.0	10.0				10.0			Markarth	27.0
Dwarven Sideboard, Granite Polished	Epic	Dining			6.0	10.0		13.0			Markarth	29.0
Dwarven Strainer, Kitchen	Superior	Hearth						9.0	6.0		Markarth	15.0
Dwarven Table Lamp, Polished Dome	Superior	Lighting			5.0			9.0			Markarth	14.0
Dwarven Table, Assembly	Epic	Dining	6.0			11.0		9.0			Morrowind / Clockwork	26.0
Dwarven Table, Grand Polished	Epic	Dining	7.0			10.0		13.0			Markarth	30.0
Dwarven Table, Granite	Superior	Dining				9.0		6.0			Markarth	15.0
Dwarven Table, Granite Kitchen	Superior	Dining				9.0		6.0			Markarth	15.0
Dwarven Table, Refined	Epic	Dining	6.0			12.0		10.0			Morrowind / Clockwork	28.0
Dwarven Table, Workbench	Superior	Dining				7.0		9.0			Morrowind / Clockwork	16.0
Dwarven Trunk, Ornate Polished	Epic	Suite				10.0	7.0	13.0			Markarth	30.0
Dwarven Urn, Sealed	Fine	Undercroft						5.0			Morrowind / Clockwork	5.0
Dwarven Valve, Disconnected	Superior	Structures				5.0		8.0			Morrowind / Clockwork	13.0
Dwarven Vase, Forged	Superior	Parlor		5.0				8.0			Morrowind / Clockwork	13.0
Dwarven Vessel, Sealed	Superior	Hearth		7.0				9.0			Morrowind / Clockwork	16.0
Dwarven Wall Cabinet, Granite	Superior	Hearth				9.0	6.0				Markarth	15.0
Dwarven Wall Lamp, Reachfolk Adorned	Superior	Lighting					9.0	6.0			Markarth	15.0
Dwarven Wardrobe, Ornate Polished	Epic	Suite				7.0	10.0				Markarth	17.0
Elsweyr Altar, Ancient Stone	Superior	Undercroft				9.0		6.0			Elsweyr	15.0
Elsweyr Armchair, Elegant Wooden	Epic	Dining	7.0		7.0		13.0				Elsweyr	27.0
Elsweyr Armchair, Low-Backed Elegant	Epic	Dining	7.0		7.0		13.0				Elsweyr	27.0
Elsweyr Armchair, Low-Backed Wooden	Superior	Dining	5.0		4.0		10.0				Elsweyr	19.0
Elsweyr Barstool, Elegant Wooden	Epic	Workshop			6.0		10.0		13.0		Elsweyr	29.0
Elsweyr Barstool, Wooden	Superior	Workshop					6.0		9.0		Elsweyr	15.0
Elsweyr Bed, Blue Four-Poster	Epic	Suite	7.0				10.0		13.0		Elsweyr	30.0
Elsweyr Bed, Elegant Double	Epic	Suite			6.0		10.0		13.0		Elsweyr	29.0
Elsweyr Bed, Elegant Single	Epic	Suite			6.0		10.0		13.0		Elsweyr	29.0
Elsweyr Bed, Quilted Double	Superior	Suite	5.0				5.0		10.0		Elsweyr	20.0
Elsweyr Bed, Quilted Single	Superior	Suite					6.0		9.0		Elsweyr	15.0
Elsweyr Bed, Rumpled Elegant Double	Epic	Suite			6.0		10.0		13.0		Elsweyr	29.0
Elsweyr Bed, Rumpled Elegant Single	Epic	Suite			6.0		10.0		13.0		Elsweyr	29.0
Elsweyr Bed, Rumpled Quilted Double	Epic	Suite	7.0				10.0		13.0		Elsweyr	30.0
Elsweyr Bed, Rumpled Quilted Single	Superior	Suite					6.0		9.0		Elsweyr	15.0
Elsweyr Bed, Senche-Raht	Legendary	Suite		9.0	9.0		15.0		15.0		Harrowstorm	48.0
Elsweyr Bed, Yellow Four-Poster	Epic	Suite	7.0				10.0		13.0		Elsweyr	30.0
Elsweyr Bench, Wooden	Fine	Dining	4.0				5.0				Elsweyr	9.0
Elsweyr Bookshelf, Ancient Stone Full	Epic	Library	7.0			13.0			10.0		Elsweyr	30.0
Elsweyr Bookshelf, Elegant Wooden	Superior	Library			5.0		9.0				Elsweyr	14.0
Elsweyr Bookshelf, Elegant Wooden Full	Epic	Library	7.0		7.0		13.0				Elsweyr	27.0
Elsweyr Bookshelf, Short Elegant	Superior	Library			5.0		9.0				Elsweyr	14.0
Elsweyr Bookshelf, Short Elegant Full	Epic	Library	7.0		7.0		13.0				Elsweyr	27.0
Elsweyr Bookshelf, Wooden	Superior	Library	6.0				9.0				Elsweyr	15.0
Elsweyr Bookshelf, Wooden Full	Epic	Library	9.0		6.0		13.0				Elsweyr	28.0
Elsweyr Bowl, Deep Ceramic	Superior	Hearth		7.0			6.0				Elsweyr	13.0
Elsweyr Bowl, Shallow Ceramic	Superior	Hearth		7.0	5.0						Elsweyr	12.0
Elsweyr Bowl, Simple	Fine	Hearth					5.0				Elsweyr	5.0
Elsweyr Brazier, Embellished	Superior	Lighting			4.0	10.0		5.0			Elsweyr	19.0
Elsweyr Brazier, Massive	Epic	Lighting			6.0	13.0		10.0			Elsweyr	29.0
Elsweyr Brazier, Ribbed	Superior	Lighting	5.0			10.0		5.0			Elsweyr	20.0
Elsweyr Brazier, Tall	Epic	Lighting			6.0	13.0		10.0			Elsweyr	29.0
Elsweyr Bread Basket, Feast-Day	Legendary	Hearth	12.0	11.0			15.0				Harrowstorm	38.0
Elsweyr Bucket, Wooden	Fine	Workshop					5.0				Elsweyr	5.0
Elsweyr Cabinet, Elegant Wooden	Superior	Hearth	5.0			5.0	10.0				Elsweyr	20.0
Elsweyr Cabinet, Wall	Superior	Hearth			5.0		9.0				Elsweyr	14.0
Elsweyr Cabinet, Wide Elegant Wooden	Epic	Dining	7.0			10.0	13.0				Elsweyr	30.0
Elsweyr Cage, Filigree	Legendary	Workshop	12.0	9.0	10.0			15.0			Scalebreaker	46.0
Elsweyr Candle, Column	Epic	Lighting	7.0	8.0		13.0					Elsweyr	28.0
Elsweyr Candle, Saucer	Fine	Lighting		4.0			4.0				Elsweyr	8.0
Elsweyr Carpet, Blossoms on Blue	Epic	Parlor	9.0	6.0					13.0		Elsweyr	28.0
Elsweyr Carpet, Botanical Grand	Epic	Parlor	7.0			10.0			13.0		Elsweyr	30.0
Elsweyr Carpet, Chaotic Symmetry	Superior	Parlor	5.0		4.0				10.0		Elsweyr	19.0
Elsweyr Carpet, Gold-Emerald	Fine	Parlor	4.0						5.0		Elsweyr	9.0
Elsweyr Carpet, Gold-Ruby	Fine	Parlor	4.0						5.0		Elsweyr	9.0
Elsweyr Carpet, Sandflowers	Epic	Parlor	9.0		6.0				13.0		Elsweyr	28.0
Elsweyr Cart, Masterwork	Legendary	Courtyard	12.0		8.0		15.0	15.0			Scalebreaker	50.0
Elsweyr Chaise Lounge, Upholstered	Legendary	Parlor	12.0		8.0		15.0		15.0		Scalebreaker	50.0
Elsweyr Chest, Red Gilded	Epic	Suite			7.0	7.0	13.0				Elsweyr	27.0
Elsweyr Column, Stone Support	Superior	Courtyard				9.0		6.0			Elsweyr	15.0
Elsweyr Couch, Elegant Wooden	Epic	Parlor	7.0		7.0		13.0				Elsweyr	27.0
Elsweyr Couch, Wooden	Superior	Parlor	6.0				9.0				Elsweyr	15.0
Elsweyr Cup of Rice, Gilded	Superior	Hearth		5.0	6.0						Elsweyr	11.0
Elsweyr Cupboard, Elegant Wooden	Epic	Hearth		6.0	7.0		13.0				Elsweyr	26.0
Elsweyr Curtains, Flat Panel Maroon	Superior	Parlor	5.0		4.0				10.0		Elsweyr	19.0
Elsweyr Curtains, Tied-Back Blue	Superior	Parlor	5.0		4.0				10.0		Elsweyr	19.0
Elsweyr Curtains, Wide Maroon	Epic	Parlor	7.0		7.0				13.0		Elsweyr	27.0
Elsweyr Desk, Elegant Wooden	Epic	Library	9.0		6.0		13.0				Elsweyr	28.0
Elsweyr Desk, Wooden	Superior	Library		5.0			10.0	5.0			Elsweyr	20.0
Elsweyr Fabric, Hanging	Superior	Workshop	6.0						9.0		Elsweyr	15.0
Elsweyr Fabric, Hanging Cluster	Superior	Workshop	6.0						9.0		Elsweyr	15.0
Elsweyr Fish, Displayed	Superior	Hearth	6.0	7.0							Elsweyr	13.0
Elsweyr Floor, Masonry	Superior	Structures	5.0	5.0		10.0					Elsweyr	20.0
Elsweyr Foot Bridge, Masonry	Superior	Structures	5.0	5.0		10.0					Elsweyr	20.0
Elsweyr Fountain, Four Lions	Epic	Courtyard	9.0		6.0	13.0					Elsweyr	28.0
Elsweyr Game, Swan Stones	Legendary	Parlor		9.0	10.0	13.0	15.0				Harrowstorm	47.0
Elsweyr Gate, Masterwork	Legendary	Structures	10.0		10.0	13.0		15.0			Scalebreaker	48.0
Elsweyr Gong, Ornate	Legendary	Parlor			9.0		15.0	15.0		11.0	Harrowstorm	50.0
Elsweyr Gravy Boat, Gilded	Superior	Hearth	5.0	5.0	7.0						Elsweyr	17.0
Elsweyr Half-Rug, Sandflowers	Superior	Parlor	5.0	5.0					10.0		Elsweyr	20.0
Elsweyr Incense Burner, Branched Brass	Epic	Undercroft	9.0		9.0	7.0					Elsweyr	25.0
Elsweyr Incense Burner, Tall Brass	Superior	Undercroft	5.0		7.0	5.0					Elsweyr	17.0
Elsweyr Incense, Fragrant	Legendary	Undercroft	13.0	9.0	10.0		13.0				Scalebreaker	45.0
Elsweyr Lantern, Hanging Twist	Superior	Lighting			5.0	9.0					Elsweyr	14.0
Elsweyr Lantern, Metal Ring	Superior	Lighting			6.0	6.0					Elsweyr	12.0
Elsweyr Lantern, Twist	Superior	Lighting			6.0	6.0					Elsweyr	12.0
Elsweyr Lightpost, Ancient Stone	Superior	Lighting	5.0		4.0	10.0					Elsweyr	19.0
Elsweyr Lightpost, Ancient Sturdy	Epic	Lighting	9.0			13.0		7.0			Elsweyr	29.0
Elsweyr Lightpost, Ancient Tall	Epic	Lighting	9.0			13.0		7.0			Elsweyr	29.0
Elsweyr Meal, Hearty Noodles	Superior	Hearth		5.0			9.0				Elsweyr	14.0
Elsweyr Meal, Roasted Chicken Pieces	Fine	Hearth	4.0	4.0							Elsweyr	8.0
Elsweyr Meal, Root Vegetables	Superior	Hearth	5.0	8.0	4.0						Elsweyr	17.0
Elsweyr Meal, Sweet Stew	Fine	Hearth		4.0			5.0				Elsweyr	9.0
Elsweyr Meal, Whole Roasted Chicken	Epic	Hearth		8.0	6.0		13.0				Elsweyr	27.0
Elsweyr Monument, Ancient Stone Broken	Epic	Courtyard	7.0			13.0		10.0			Elsweyr	30.0
Elsweyr Mortar and Pestle, Engraved	Legendary	Workshop	13.0	10.0	8.0			15.0			Harrowstorm	46.0
Elsweyr Nightstand, Elegant Wooden	Epic	Suite	7.0		7.0		13.0				Elsweyr	27.0
Elsweyr Nightstand, Octagonal Wooden	Epic	Suite		8.0			13.0	7.0			Elsweyr	28.0
Elsweyr Nightstand, Wooden	Superior	Suite		5.0			9.0				Elsweyr	14.0
Elsweyr Pillar, Ancient Stone	Superior	Courtyard	6.0			9.0					Elsweyr	15.0
Elsweyr Plate, Rough	Fine	Hearth		4.0							Elsweyr	4.0
Elsweyr Plate, Umber Ceramic	Epic	Hearth		8.0	6.0		13.0				Elsweyr	27.0
Elsweyr Platform, Ancient Rectangular	Epic	Structures		8.0	6.0	13.0					Scalebreaker	27.0
Elsweyr Platform, Ancient Square	Superior	Structures		5.0		9.0					Scalebreaker	14.0
Elsweyr Platform, Stepped	Superior	Structures		5.0		9.0					Elsweyr	14.0
Elsweyr Platform, Wooden Large	Fine	Structures					5.0	4.0			Elsweyr	9.0
Elsweyr Platform, Wooden Small	Fine	Structures					5.0				Elsweyr	5.0
Elsweyr Plinth, Ancient Stone	Fine	Structures	4.0			5.0					Elsweyr	9.0
Elsweyr Post, Masonry Wall	Fine	Courtyard		4.0		5.0					Elsweyr	9.0
Elsweyr Pot, Cerulean	Superior	Hearth	6.0			9.0					Elsweyr	15.0
Elsweyr Pot, Floral	Superior	Hearth		5.0		9.0					Elsweyr	14.0
Elsweyr Pot, Ornate	Fine	Hearth				5.0					Elsweyr	5.0
Elsweyr Pot, Stoneware	Fine	Hearth	4.0	4.0							Elsweyr	8.0
Elsweyr Pot, Tall	Epic	Hearth	7.0	8.0		13.0					Elsweyr	28.0
Elsweyr Pot, Waves	Fine	Hearth				5.0					Elsweyr	5.0
Elsweyr Room-Divider, Elegant	Epic	Suite			7.0	7.0	13.0				Elsweyr	27.0
Elsweyr Rug, Sandflowers	Epic	Parlor	9.0	6.0					13.0		Elsweyr	28.0
Elsweyr Runner, Autumn Vines	Superior	Parlor	5.0		4.0				10.0		Elsweyr	19.0
Elsweyr Runner, Lavish Floral	Superior	Parlor	5.0	5.0					10.0		Elsweyr	20.0
Elsweyr Sand Meditation Ring, Large	Superior	Conservatory	6.0			9.0					Elsweyr	15.0
Elsweyr Sand Meditation Ring, Small	Fine	Conservatory	4.0			5.0					Elsweyr	9.0
Elsweyr Sarcophagus Lid, Ancient	Superior	Undercroft	6.0			9.0					Elsweyr	15.0
Elsweyr Sarcophagus, Ancient	Superior	Undercroft	6.0			9.0					Elsweyr	15.0
Elsweyr Sconce, Candle Carved	Superior	Lighting		7.0			6.0				Elsweyr	13.0
Elsweyr Sconce, Candle Elegant	Superior	Lighting		7.0			6.0				Elsweyr	13.0
Elsweyr Sconce, Candle Engraved	Superior	Lighting		7.0	5.0						Elsweyr	12.0
Elsweyr Sconce, Candle Shielded	Superior	Lighting		7.0		6.0					Elsweyr	13.0
Elsweyr Shelf, Elegant Wall	Superior	Library			5.0		9.0				Elsweyr	14.0
Elsweyr Shrine, Ancient Large	Epic	Undercroft		7.0	6.0	13.0					Scalebreaker	26.0
Elsweyr Shrine, Ancient Multilevel	Superior	Undercroft		5.0	4.0	10.0					Scalebreaker	19.0
Elsweyr Shrine, Ancient Small	Superior	Undercroft			5.0	9.0					Scalebreaker	14.0
Elsweyr Spice Display, Matcha Green	Fine	Hearth		4.0			4.0				Elsweyr	8.0
Elsweyr Spice Display, Saffron Red	Fine	Hearth		4.0			4.0				Elsweyr	8.0
Elsweyr Spice Display, Turmeric Yellow	Fine	Hearth		4.0			4.0				Elsweyr	8.0
Elsweyr Spire, Decorative	Superior	Courtyard	5.0			10.0		5.0			Elsweyr	20.0
